id	cluster	es	esMirror	en	enMirror	notaEn	notaEs
pron-core-001	A	¿Qué piensas?	keh PYEN-sahs	What do you think	wuht-duh-yuh-THIHNGK	En ingl?s, marca el ritmo fuerte/d?bil y reduce vocales en palabras no acentuadas.	Ritmo + schwa + linking en frase ultra frecuente.
pron-core-002	A	Es una opción.	es OO-nah op-see-ON	It is an option.	ih-tih-zun-OP-shun	En ingl?s, marca el ritmo fuerte/d?bil y reduce vocales en palabras no acentuadas.	Encadena it-is-an con reduccin natural.
pron-core-003	A	Puedo hacerlo hoy.	PWEH-doh ah-SEHR-loh oy	I can do it today.	ai-kun-DOO-it tuh-DAY	En ingl?s, marca el ritmo fuerte/d?bil y reduce vocales en palabras no acentuadas.	Schwa en can/to y golpe en do/day.
pron-core-004	A	Estamos apurados.	es-TAH-mohs ah-poo-RAH-dohs	We are in a hurry.	wee-ur-in-uh-HUR-ee	En ingl?s, marca el ritmo fuerte/d?bil y reduce vocales en palabras no acentuadas.	Reduce are/a sin perder claridad.
pron-core-005	A	Es mejor idea.	es meh-HOR ee-DEH-ah	This is a better idea.	dhis-iz-uh-BEH-rur-ai-DEE-uh	En ingl?s, marca el ritmo fuerte/d?bil y reduce vocales en palabras no acentuadas.	Reduccin de funcin + ritmo fuerte/dbil.
pron-core-006	A	¿Puedes repetirlo?	PWEH-dehs reh-peh-TEER-loh	Can you say it again	kun-yuh-SAY-it-uh-GEN	En ingl?s, marca el ritmo fuerte/d?bil y reduce vocales en palabras no acentuadas.	Schwas mltiples con intencin comunicativa.
pron-core-007	B	Esto es difícil.	ES-toh es dee-FEE-seel	This is difficult.	dhis-iz-DIH-fi-kult	Mant?n la i corta y relajada; no la alargues como i larga.	Short i relajada en this/is/difficult.
pron-core-008	B	Lo arreglo rápido.	loh ah-RREH-gloh RRAH-pee-doh	I will fix it quickly.	ai-wil-FIHK-sit-KWIHK-lee	Mant?n la i corta y relajada; no la alargues como i larga.	Mantn // corta en will/fix/it/quickly.
pron-core-009	B	Si es simple, hazlo.	see es SEEM-pleh AHS-loh	If it is simple, do it.	if-it-iz-SIHM-pul-do-it	Mant?n la i corta y relajada; no la alargues como i larga.	No alargues // en if/it/is/simple.
pron-core-010	B	Ese detalle importa.	EH-seh deh-TAH-yeh eem-POR-tah	This little detail matters.	dhis LIH-rul DEE-tail MA-rurz	Mant?n la i corta y relajada; no la alargues como i larga.	Contraste // breve vs vocales largas vecinas.
pron-core-011	B	Aún necesito esto.	a-OON neh-seh-SEE-toh ES-toh	We still need this.	wee-stihl-NEED-dhis	Mant?n la i corta y relajada; no la alargues como i larga.	Short i en still/this con cierre rpido.
pron-core-012	B	Piénsalo bien.	PYEN-sah-loh byen	Think it through.	THIHNGK-it-THROO	Mant?n la i corta y relajada; no la alargues como i larga.	Combinacin // + TH sorda.
pron-core-013	C	Necesitamos verlo.	neh-seh-see-TAH-mohs VEHR-loh	We need to see it.	wee-NEED-tuh-SEE-it	Sost?n la i larga con tensi?n y duraci?n donde corresponda.	Long i /i/ en we/need/see.
