id	cluster	es	esMirror	notaEs	en	enMirror
pron-golden-001	A	El profesor de historia es fantástico.	el pruh-FEH-sur duh hees-TOR-ee-ah eez fan-TAS-tik	Ritmo y schwa: golpea FES/TOR/TAS y reduce s?labas d?biles.	The history professor is fantastic.	thuh HIS-tuh-ree pruh-FEH-sur iz fan-TAS-tik
pron-golden-002	B	El líder visita la clínica principal.	el LEE-dur VIH-zits thuh KLIH-nik PRIN-suh-pul	Contraste i larga vs i corta: leader largo, visits/clinic/principal cortas.	The leader visits the principal clinic.	thuh LEE-dur VIH-zits thuh PRIN-suh-pul KLIH-nik
pron-golden-003	D	El público cancela el canal central.	el PUHB-lih-koh kan-SEH-lah el kah-NAHL sen-TRAL	Contraste vocal central oscura vs a abierta: public oscuro; cancel/canal con boca muy abierta.	The public cancels the central canal.	thuh PUHB-lik KAN-suhlz thuh SEN-trul KAN-ul
pron-golden-004	F	El autor considera la teoría con entusiasmo.	el aw-TOR kon-see-DEH-rah lah teh-oh-REE-ah kon en-too-see-AHS-moh	TH sonora y sorda: sonora en the, sorda en author/theory/enthusiasm.	The author considers the theory with enthusiasm.	thuh AW-thur kun-SIH-durz thuh THEE-uh-ree with en-THYOO-zee-az-um
pron-golden-005	A	El hotel humano tiene historia y humor.	el oh-TEL oo-MAH-noh TEE-neh ees-TOR-yah ee oo-MOR	H aspirada limpia y schwa en s?labas d?biles.	The human hotel has history and humor.	thuh HYOO-mun how-TEL haz HIS-tuh-ree and HYOO-mur
pron-golden-006	H	El presidente organiza y usa las bases.	el preh-see-DEN-teh or-gah-NEE-sah ee OO-sah lahs BAH-sehs	Zumbido /z/ en organizes/uses/plurales, no /s/ plana en todo.	The president organizes and uses the bases.	thuh PREH-zih-dent OR-guh-nay-ziz and YOO-ziz thuh BAY-siz
pron-golden-007	I	El cable visual vibra con volumen bajo.	el KAH-bleh bee-soo-AHL BEE-brah kon boh-LOO-men BAH-hoh	Diferencia f?sica entre v (labio+dientes) y b (labios juntos).	The visual cable vibrates with low volume.	thuh VIH-zhoo-ul KAY-bul VAY-brayts with LOW VAHL-yum
pron-golden-008	G	El director rural controla el radar de carbono.	el dee-rek-TOR roo-RAHL kon-TROH-lah el rah-DAR deh kar-BOH-noh	R inglesa flotante: lengua atrs sin tocar el paladar.	The rural director controls the carbon radar.	thuh RUR-ul duh-REK-tur kun-TROWLZ thuh KAR-bun RAY-dar
pron-golden-009	J	El motor de metal es total y natural.	el moh-TOR deh meh-TAL es toh-TAL ee nah-too-RAHL	Flap T americana: metal/motor/total/natural con toque rpido tipo r suave.	The metal motor is total and natural.	thuh MEH-rul MOW-rur iz TOW-rul and NACH-ur-ul
pron-golden-010	J	El grupo escapó, observó y decidió continuar.	el GROO-poh es-kah-POH ob-ser-BOH ee deh-see-DYOH kon-tee-noo-AR	Terminacin -ed: /t/, /d/ e /d/ segn el sonido final.	The group escaped, observed, and decided to continue.	thuh groop ih-SKAYPT uhb-ZURVD and dih-SAI-did tuh kun-TIH-nyoo
pron-golden-011	C	El momento local es famoso en la nación global.	el moh-MEN-toh loh-KAHL es fah-MOH-soh en lah nah-see-ON gloh-BAHL	Diptongos /o/ y /e/: mueve la boca, no vocal plana.	The local moment is famous in the global nation.	thuh LOW-kul MOW-munt iz FAY-mus in thuh GLOW-bul NAY-shun
pron-golden-012	A	Es una opción activa y eficiente.	es OO-nah op-see-ON ak-TEE-bah ee eh-fee-see-EN-teh	Linking: frase continua, sin pausas slaba por slaba.	It is an active and efficient option.	ih-tih-zun-AK-tiv-an-ih-FIH-shunt-OP-shun
pron-golden-013	A	El doctor americano visita el hospital original con gran energía.	el DOK-tor ah-meh-ree-KAH-noh bee-SEE-tah el os-pee-TAL oh-ree-hee-NAHL kon gran eh-ner-HEE-ah	Frase integradora: schwa, /v/, //, /r/, diptongos y ritmo en una sola cadena.	The American doctor visits the original hospital with great energy.	thuh uh-MEH-rih-kun DAHK-tur VIH-zits thee uh-RIH-jih-nul HAHS-pih-tul with GRAYT EH-nur-jee
pron-golden-014	A	El sistema oficial de soporte está activo.	el sees-TEH-mah oh-fee-see-AHL deh soh-POR-teh es-TAH ak-TEE-boh	Schwa en slabas tonas y estrs en palabras largas.	The official support system is active.	thuh uh-FIH-shul suh-PORT SIS-tum iz AK-tiv
pron-golden-015	B	El equipo vive en esta ciudad difícil.	el eh-KEE-poh BEE-beh en ES-tah see-oo-DAD dee-FEE-seel	Seca las // en live/this/city/difficult para evitar i latina larga.	The team lives in this difficult city.	thuh TEEM LIVZ in dhis DIH-fi-kult SIH-tee
pron-golden-016	C	Vemos tres ideas limpias cada semana.	BEH-mohs trehs ee-DEH-ahs LEEM-pee-ahs KAH-dah seh-MAH-nah	Marca /i/ larga en we/see/clean/week y no la mezcles con //.	We see three clean ideas every week.	wee SEE three KLEEN ai-DEE-uhz EV-ree WEEK
pron-golden-017	D	Ese plan cambia rápido y abre cada canal.	EH-seh plan KAHM-byah RAH-pee-doh ee AH-breh KAH-dah kah-NAHL	Abre mandbula para // en that/plan/canal, sin cerrarla al centro.	That plan changes fast and opens every channel.	dhat PLAN CHAYN-jiz FAST and OH-punz EV-ree CHAN-ul
pron-golden-018	E	Mi club ama esta cultura joven.	MEE kloob AH-mah ES-tah kool-TOO-rah HOH-ben	Entrena // oscuro y corto en club/love/culture/young.	My club loves this young culture.	mai KLUHB LUHVZ dhis YUHN KUHL-chur
pron-golden-019	F	Estos autores piensan que ese método funciona.	ES-tohs aw-TOH-rehs pee-EN-sahn keh EH-seh MEH-toh-doh foon-see-OH-nah	Alterna // y // sin sustituir por t/d/s.	These authors think that this method works.	dheez AW-thurz THINK that dhis METH-ud works
pron-golden-020	G	La respuesta correcta requiere práctica real.	lah rehs-PWES-tah koh-REK-tah reh-KYEE-reh PRAK-tee-kah reh-AHL	R inglesa en response/correct/requires/real, siempre sin toque alveolar.	The correct response requires real practice.	thuh kuh-REKT ri-SPAHNS ri-KWAI-urz REEL PRAK-tis
pron-golden-021	H	Su voz usa frases fáciles y precisas.	soo BOHS OO-sah FRAH-sehs FAH-see-lehs ee preh-SEE-sahs	Z sonora en voice/uses/easy/precise final.	His voice uses easy, precise phrases.	hiz VOYS YOO-ziz EE-zee pri-SAIS FRAY-ziz
pron-golden-022	I	Vemos la versión breve del video nuevo.	BEH-mohs lah ber-see-ON BREH-beh del BEE-deh-oh NWAY-boh	Labio inferior contra dientes para /v/ sostenida.	We view the brief version of the new video.	wee VYOO thuh BREEF VUR-zhun uhv thuh NYOO VIH-dee-oh
pron-golden-023	J	El editor notó que la nota era total.	el eh-dee-TOR noh-TOH keh lah NOH-tah EH-rah toh-TAL	Flap T en editor/noted/total para ritmo americano natural.	The editor noted that the note was total.	thuh EH-duh-rur NOH-rid that thuh NOHT wuz TOH-rul
pron-golden-024	A	Cuando lo usamos a diario, todo se conecta.	KWAN-doh loh OO-sah-mohs ah dee-AH-ree-oh TOH-doh seh koh-NEK-tah	Integracin final: estrs, reduccin, linking y continuidad.	When we use it daily, everything connects.	wen wee YOO-zit DAY-lee EV-ree-thing kuh-NEKTS
